metadata_colname,metadata_colname_long,metadata_units,metadata_datatype,metadata_colname_desc
ABUNDANCE_HAUL,Design-based index approved haul,logical,NA,"Logical, describing if this haul was conducted in a standard manner and thus used for design-based index estimates (TRUE) or not (FALSE)."
ACTIVE,Vessel Active/Inactive,logical,NA,"Logical, describing if a vessel is active (TRUE) or not (FALSE)."
AGE,Age bin of taxon,year,"NUMBER(38,0)",Age bin of a taxon in years estimated by the age comp estimate.
AGENCY_ACRONYM,Acroynm of listed Agency,text abbreviated,VARCHAR2(255 BYTE),Abbreviated agencies that are affiliated with the Alaska bottom trawl survey. The column 'agency_acronym' is associated with the 'agency_short' and 'agency_long' columns.
AGENCY_JOIN,Agency's ID code,ID code,"NUMBER(38,0)",Affiliated agency ID code.
AGENCY_LONG,Agency's Offical Name,text,VARCHAR2(255 BYTE),Full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_long' is associated with the 'agency_acronym' and 'agency_short' columns.
AGENCY_SHORT,Agency's Shorthand Name,text,VARCHAR2(255 BYTE),A sort version of the full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_short' is associated with the 'agency_acronym' and 'agency_long' columns.
AREA_ID,Area ID code,ID code,"NUMBER(38,0)","Area ID code for each statistical area used to produce production estimates (e.g., biomass, population, age comps, length comps). Each area ID is unique within each survey."
AREA_KM2,Area (km<sup>2</sup>),kilometers squared,"NUMBER(38,3)",Area in thousands of square kilometers.
AREA_NAME,Area ID Name,text,VARCHAR2(4000 BYTE),"Descriptive name of each AREA_ID. These names often identify the region, depth ranges, or other regional information for the area ID."
AREA_SWEPT_KM2,Area Swept (km),kilometers,"NUMBER(38,6)","The area the net covered while the net was fishing (kilometers squared), defined as the distance fished times the net width."
AREA_TYPE,Area ID Type Description,category,VARCHAR2(255 BYTE),"The type of stratum that AREA_ID represents. Types include: STRATUM, REGION, DEPTH, SUBAREA, INPFC BY DEPTH, INPFC, SUBAREA BY DEPTH, REGULATORY AREA, NMFS STATISTICAL AREA."
BIOMASS_CI_LOWER,Estimated Biomass Lower Confidence Interval,numeric,"NUMBER(38,6)","The estimated biomass lower confidence interval caught in the survey for a species, group, or total for a given survey."
BIOMASS_CI_UPPER,Estimated Biomass Upper Confidence Interval,numeric,"NUMBER(38,6)","The estimated biomass upper confidence interval caught in the survey for a species, group, or total for a given survey."
BIOMASS_DF,Estimated Biomass Degrees of Freedom,numeric,"NUMBER(38,6)","The estimated biomass degrees of freedom caught in the survey for a species, group, or total for a given survey."
BIOMASS_MT,Estimated Biomass,numeric,"NUMBER(38,6)","The estimated biomass caught in the survey for a species, group, or total for a given survey."
BIOMASS_VAR,Estimated Biomass Variance,numeric,"NUMBER(38,6)","The estimated biomass variance caught in the survey for a species, group, or total for a given survey."
BOTTOM_TEMPERATURE_C,Bottom Temperature (Degrees Celsius),degrees Celsius,"NUMBER(38,1)",Bottom temperature (tenths of a degree Celsius); NA indicates removed or missing values.
BOTTOM_TYPE_CODE,Seafloor bottom type code,ID code,"NUMBER(38,0)","Bottom type on sea floor at haul location. For a complete list of bottom type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
CLASS,Subphylum phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of class of a given species.
CLASSIFICATION,Taxonomic classification rank group,category,VARCHAR2(255 BYTE),"Phylogenetic classification group rank for a given species. "")"
COMMENTS,Comments,text,VARCHAR2(4000 BYTE),Comments regarding row observation.
COMMON_NAME,Taxon Common Name,text,VARCHAR2(255 BYTE),"The common name of the marine organism associated with the 'scientific_name' and 'species_code' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
COUNT,Taxon Count,"count, whole number resolution","NUMBER(38,0)","Total number of individuals caught in haul by taxon, represented in whole numbers used in calculation."
N_WEIGHT,Hauls with catch,numeric,"NUMBER(38,0)",Total number of hauls with positive catch/weighed taxon data used in calculation.
N_COUNT,Hauls with taxon counts,numeric,"NUMBER(38,0)",Total number of hauls with positive taxon counts used in calculation.
N_HAUL,Valid hauls,numeric,"NUMBER(38,0)",Total number of valid hauls used in calculation.
N_LENGTH,Hauls with taxon lengths,numeric,"NUMBER(38,0)",Total number of hauls with taxon length data used in calculation.
COUNTRY_ID,Vessel Name,text,VARCHAR2(255 BYTE),"Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
CPUE_KGHA,Weight CPUE (kg/ha),kilograms per hectare,"NUMBER(38,6)",Catch weight (kilograms) divided by area (hectares) swept by the net.
CPUE_KGKM2,Weight CPUE (kg/km<sup>2</sup>),kilograms per kilometers squared,"NUMBER(38,6)",Catch weight (kilograms) divided by area (squared kilometers) swept by the net.
CPUE_KGKM2_MEAN,Mean Weight CPUE,kilograms per kilometers squared,"NUMBER(38,6)",The mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_KGKM2_VAR,Variance of the Mean Weight CPUE,kilograms per kilometers squared,"NUMBER(38,6)",The variance of mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_NOHA,Number CPUE (no/ha),count per hectare,"NUMBER(38,6)",Catch number (in number of organisms) per area (hectares) swept by the net.
CPUE_NOKM2,Number CPUE (no/km<sup>2</sup>),count per kilometers squared,"NUMBER(38,6)",Catch number (in number of organisms) per area (squared kilometers) swept by the net.
CPUE_NOKM2_MEAN,Mean Numberic CPUE,count per kilometers squared,"NUMBER(38,6)",The mean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_NOKM2_VAR,Variance of the Mean Numeric CPUE,count per kilometers squared,"NUMBER(38,6)",The variance of mMean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CRS,Coordinate Reference System,ID code,VARCHAR2(5 BYTE),"Coordinate reference system that areas (like AREA_KM2) are calculated in, as defined by https://spatialreference.org/ (e.g., ""+proj=longlat"", ""EPSG:3338"")."
CRUISE,Cruise ID,ID code,"NUMBER(38,0)","This is a six-digit number identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
CRUISEJOIN,Cruise ID,ID code,"NUMBER(38,0)","This is a unique numeric identifier assigned to each survey, vessel, and year combination."
DATABASE,Genus phylogenetic rank,category,VARCHAR2(255 BYTE),"Taxonomic database source (e.g., ""ITIS"", ""WORMS"")."
DATABASE_ID,Subfamily phylogenetic rank,ID code,VARCHAR2(255 BYTE),"Species ID code of a species in the taxonomic ""DATABASE"" source."
DATE_TIME,Date and Time of Haul,MM/DD/YYYY HH::MM,DATE,The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul.
DEPTH_M,Depth (m),degrees Celsius,"NUMBER(38,1)",Bottom depth (tenths of a meter).
DEPTH_MAX_M,Area ID Maximum Depth (m),meters,"NUMBER(38,3)",Maximum depth (meters) of the area covered by AREA_ID.
DEPTH_MIN_M,Area ID Minimum Depth (m),meters,"NUMBER(38,3)",Minimum depth (meters) of the area covered by AREA_ID.
DESCRIPTION,Description,text,VARCHAR2(4000 BYTE),Description of row observation.
DESIGN_YEAR,Design year,year,"NUMBER(10,0)","The year the survey area stratum (e.g., statistical stratum, summary area, region) was implimented in."
DISTANCE_FISHED_KM,Distance Fished (km),degrees Celsius,"NUMBER(38,3)",Distance the net fished (thousandths of kilometers).
DUMMY,dummy,dummy,VARCHAR2(255 BYTE),dummy
DURATION_HR,Tow Duration (decimal hr),hours,"NUMBER(38,1)",This is the elapsed time between start and end of a haul (decimal hours).
FAMILY,Suborder phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of family of a given species.
GEAR_DEPTH_M,Gear depth,meters,"NUMBER(38,1)",Depth gear was deployed at (tenths of a meter). Gear depth plus net height equals bottom depth.
GEAR_ID,Gear ID code,ID code,"NUMBER(38,0)","Type of trawl or gear deployed. For a complete list of vessel gear type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
GENUS,Family phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of genus of a given species.
HAUL,Haul Number,ID code,"NUMBER(38,0)","This number uniquely identifies a sampling event (haul) within a cruise. It is a sequential number, in chronological order of occurrence."
HAUL_TYPE,Haul Sampling Type,ID code,"NUMBER(38,0)","Type of haul sampling method. For a complete list of haul type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
HAULJOIN,Haul ID,ID code,"NUMBER(38,0)","This is a unique numeric identifier assigned to each (vessel, cruise, and haul) combination."
ID_RANK,Lowest taxonomic rank,ID code,VARCHAR2(255 BYTE),Lowest taxonomic rank of a given species entry.
ITIS,ITIS Taxonomic Serial Number,ID code,"NUMBER(38,0)",Species code as identified in the Integrated Taxonomic Information System (https://itis.gov/).
KINGDOM,kingdom phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of kingdom of a given species.
LATITUDE_DD,Latitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Latitude (one hundred thousandth of a decimal degree).
LATITUDE_DD_END,End Latitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Latitude (one hundred thousandth of a decimal degree) of the end of the haul.
LATITUDE_DD_START,Start Latitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Latitude (one hundred thousandth of a decimal degree) of the start of the haul.
LENGTH_MM,Length of a specimen,millimeters,"NUMBER(10,0)",Length of a specimen in millimeters.
LENGTH_MM_MEAN,Mean length at age weighted by numbers at length,numeric,"NUMBER(38,3)",Mean length estimated in age comp estimate.
LENGTH_MM_SD,standard deviation of length at age weighted by numbers at length,numeric,"NUMBER(38,3)",Variance of mean length estimated in age comp estimate.
LONGITUDE_DD,Longitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Longitude (one hundred thousandth of a decimal degree).
LONGITUDE_DD_END,End Longitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Longitude (one hundred thousandth of a decimal degree) of the end of the haul.
LONGITUDE_DD_START,Start Longitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Longitude (one hundred thousandth of a decimal degree) of the start of the haul.
METADATA_COLNAME,Column name,text,VARCHAR2(255 BYTE),Name of the column in a table.
METADATA_COLNAME_DESC,column description,text,VARCHAR2(4000 BYTE),Descritpion of the column.
METADATA_COLNAME_LONG,Column name spelled out,text,VARCHAR2(255 BYTE),Long name for the column.
METADATA_SENTENCE,Sentence,text,VARCHAR2(255 BYTE),Table metadata sentence.
METADATA_SENTENCE_NAME,Metadata sentence name,text,VARCHAR2(255 BYTE),Name of table metadata sentence.
METADATA_SENTENCE_TYPE,Sentence type,text,VARCHAR2(255 BYTE),Type of sentence to have in table metadata.
METADATA_UNITS,Units,category,VARCHAR2(255 BYTE),Units of the column.
NET_HEIGHT_M,Net Height (m),meters,"NUMBER(38,1)",Measured or estimated distance (meters) between footrope and headrope of the trawl.
NET_MEASURED,Net measured during haul,logical,NA,"Logical, describing if the net was measured (TRUE) or not (FALSE) by wheelhouse and marport programs during the haul."
NET_WIDTH_M,Net Width (m),meters,"NUMBER(38,1)",Measured or estimated distance (meters) between wingtips of the trawl.
ORDER,Subclass phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of order of a given species.
PERFORMANCE,Haul Performance Code,category,"NUMBER(38,0)","This denotes what, if any, issues arose during the haul. For more information, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
PHYLUM,phylum phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of phylum of a given species.
POPULATION_CI_LOWER,Estimated Population Lower Confidence Interval,numeric,"NUMBER(38,6)","The estimated population lower confidence interval caught in the survey for a species, group, or total for a given survey."
POPULATION_CI_UPPER,Estimated Population Upper Confidence Interval,numeric,"NUMBER(38,6)","The estimated population upper confidence interval caught in the survey for a species, group, or total for a given survey."
POPULATION_COUNT,Estimated Population,numeric,"NUMBER(38,6)","The estimated population caught in the survey for a species, group, or total for a given survey."
POPULATION_DF,Estimated Population Degrees of Freedom,numeric,"NUMBER(38,6)","The estimated population degrees of freedom caught in the survey for a species, group, or total for a given survey."
POPULATION_VAR,Estimated Population Variance,numeric,"NUMBER(38,6)","The estimated population variance caught in the survey for a species, group, or total for a given survey."
PRINCIPAL_INVESTIGATOR,Principle Investigator,text,VARCHAR2(255 BYTE),First and last name of principle investigator for a project.
PROJECT_TITLE,Title of Special Project,text,VARCHAR2(255 BYTE),Special project title.
PROJECT_TITLE_SHORT,Short Title of Special Project,text,VARCHAR2(255 BYTE),Special project short title (short version of PROJECT_TITLE).
REASON,Naming status for species,text,VARCHAR2(5 BYTE),"Description of species' naming status (e.g., ""synonym"", ""preoccupied"",""misspelling"" )"
SCIENTIFIC_NAME,Taxon Scientific Name,text,VARCHAR2(255 BYTE),"The scientific name of the organism associated with the 'common_name' and 'species_code' columns. For a complete taxon list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
SEX,Sex of a specimen,ID code,"NUMBER(38,0)","Sex of a specimen where ""1"" = ""Male"", ""2"" = ""Female"", ""3"" = Unsexed."
SPECIES_CODE,Taxon Code,ID code,"NUMBER(38,0)","The species code of the organism associated with the 'common_name' and 'scientific_name' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
SPECIES_NAME_ACCEPTED,Scientific name used in taxonomic database,text,VARCHAR2(5 BYTE),"Scientific name of species used in taxonomic ""DATABASE"" column."
SPECIES_NAME_SURVEY,Scientific name used in survey data,text,VARCHAR2(5 BYTE),Scientific name of species historically or currently used in the survey.
SRVY,Survey,text abbreviated,VARCHAR2(255 BYTE),"Abbreviated survey names. The column 'srvy' is associated with the 'survey' and 'survey_id' columns. Northern Bering Sea (NBS), Southeastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), Aleutian Islands (AI)."
STATION,Station ID,ID code,VARCHAR2(255 BYTE),Alpha-numeric designation for the station established in the design of a survey.
STRATUM,Stratum ID,ID code,"NUMBER(10,0)",RACE database statistical area for analyzing data. Strata were designed using bathymetry and other geographic and habitat-related elements. The strata are unique to each survey series. Stratum of value 0 indicates experimental tows.
SUBCLASS,Superclass phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of subclass of a given species.
SUBFAMILY,Superfamily phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of subfamily of a given species.
SUBMISSION_DATE,Date,YYYY-MM-DD,TIMESTAMP,Date special projects were due to be submitted for the upcoming survey season.
SUBORDER,Superorder phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of suborder of a given species.
SUBPHYLUM,Kingdom phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of subphylum of a given species.
SUPERCLASS,Phylum phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of superclass of a given species.
SUPERFAMILY,Order phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of superfamily of a given species.
SUPERORDER,Class phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of superorder of a given species.
SURFACE_TEMPERATURE_C,Surface Temperature (Degrees Celsius),degrees Celsius,"NUMBER(38,1)",Surface temperature (tenths of a degree Celsius); NA indicates removed or missing values.
SURVEY,Survey Name,text,VARCHAR2(255 BYTE),Name and description of survey. The column 'survey' is associated with the 'srvy' and 'survey_id' columns.
SURVEY_DEFINITION_ID,Survey ID,ID code,"NUMBER(38,0)","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
SURVEY_ID,Survey ID,ID code,"NUMBER(38,0)","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
TAWLABLE,Trawlable stations,logical,NA,"Logical, describing if stations are trawlable (TRUE) or not (FALSE)."
TAXON_CONFIDENCE,Taxon Confidence Rating,category,VARCHAR2(255 BYTE),"Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
TAXON_CONFIDENCE_CODE,Taxon Confidence Rating,category,"NUMBER(38,0)","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
VESSEL_CALLSIGN,Vessel Call Sign,ID code,"NUMBER(38,0)","A call sign is a designated sequence of letters and numbers that are assigned when a vessel, whether it be a sailing yacht, motor yacht, rib or commercial vessel, receives it's Ship Radio Licence. The vessel also receives it's MMSI number, so that each vessel is uniquely identified."
VESSEL_COAST_GUARD_NUMBER,Vessel Coast Guard Number,ID code,"NUMBER(38,0)",Official Identification number as defined by www.dco.uscg.mil. The Official Number (O/N) is the 6 or 7 digit number awarded to the vessel at the time it is first documented with the US Coast Guard. This number remains with the vessel indefinitely and should be marked in accordance with 46 CFR 67.121.
VESSEL_ID,Vessel ID,ID code,"NUMBER(38,0)","ID number of the vessel used to collect data for that haul. The column 'vessel_id' is associated with the 'vessel_name' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
VESSEL_IMO,Vessel International Maritime Organization Number,ID code,"NUMBER(38,0)","The International Maritime Organization (IMO) number consists of the letters ""IMO"" followed by a unique, seven-digit number: the pattern is ""NNNNNNN"", where N is a single-digit number, e.g., ""1234567"""
VESSEL_LENGTH_M,Vessel Length,meters,"NUMBER(38,0)",The length of vessel in meters.
VESSEL_MMSI,Vessel Maritime Mobile Service Identities,ID code,"NUMBER(38,0)","Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station."
VESSEL_NAME,Vessel Name,text,VARCHAR2(255 BYTE),"Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
VESSEL_OWNER,Vessel Owner,text,VARCHAR2(255 BYTE),Name of vessel owner or company.
VESSEL_TONNAGE,Vessel Tonnage,metric tons,"NUMBER(38,0)",The tonnage of vessel in metric tons.
WEIGHT_KG,Taxon Weight (kg),kilograms,"NUMBER(38,3)",Weight (thousandths of a kilogram) of individuals in a haul by taxon.
WIRE_LENGTH_M,Trawl wire length,meters,"NUMBER(38,0)",Length of wire deployed during a given haul in meters.
WORMS,World Register of Marine Species Taxonomic Serial Number,ID code,"NUMBER(38,0)",Species code as identified in the World Register of Marine Species (WoRMS) (https://www.marinespecies.org/).
YEAR,Year,year,"NUMBER(10,0)",Year the survey was conducted in.
